ID	Slp_C	Slp_S	TX_Time	Send_TS
42	10000	10101	79		1395839764538825
43	10000	10054	80		1395839764548958
44	10000	10101	108		1395839764559139
45	10000	10091	110		1395839764569338
46	10000	10048	79		1395839764579496
47	10000	10082	111		1395839764589657
48	10000	10060	106		1395839764599828
49	10000	10072	107		1395839764610006
0	25000	16706450	249		1395839781316563
1	25000	25066	156		1395839781341878
2	25000	25078	119		1395839781367112
3	25000	25080	94		1395839781392311
4	25000	25091	102		1395839781417496
5	25000	25068	90		1395839781442666
6	25000	25102	113		1395839781467858
7	25000	25094	111		1395839781493065
8	25000	25097	116		1395839781518273
9	25000	25070	157		1395839781543459
10	25000	25065	104		1395839781568681
11	25000	25043	100		1395839781593828
12	25000	25093	142		1395839781619021
13	25000	25038	118		1395839781644201
14	25000	25089	142		1395839781669408
15	25000	25081	140		1395839781694631
16	25000	25018	120		1395839781719789
17	25000	25067	154		1395839781744976
18	25000	25090	141		1395839781770220
19	25000	25064	140		1395839781795425
20	25000	25068	142		1395839781820633
21	25000	25127	138		1395839781845902
22	25000	25030	126		1395839781871070
23	25000	25080	129		1395839781896276
24	25000	25109	110		1395839781921514
25	25000	25110	111		1395839781946734
26	25000	25047	74		1395839781971892
27	25000	25062	80		1395839781997028
28	25000	25081	71		1395839782022189
29	25000	25127	136		1395839782047387
30	25000	25085	139		1395839782072608
31	25000	25082	171		1395839782097829
32	25000	25065	140		1395839782123065
33	25000	25029	126		1395839782148234
34	25000	25063	128		1395839782173423
35	25000	25097	137		1395839782198648
36	25000	25066	121		1395839782223851
37	25000	25112	111		1395839782249084
38	25000	25047	75		1395839782274242
39	25000	25056	90		1395839782299373
40	25000	25051	145		1395839782324514
41	25000	25071	188		1395839782349730
42	25000	24959	108		1395839782374877
43	25000	25044	117		1395839782400029
44	25000	25046	82		1395839782425192
45	25000	25102	163		1395839782450376
46	25000	25023	134		1395839782475562
47	25000	25077	131		1395839782500773
48	25000	25017	100		1395839782525921
49	25000	25070	140		1395839782551091
